questionText,answerText
"My wife and mother are having tense disagreements. In the past, theyve had minor differences. For example, my wife would complain to me my mother is too overbearing; my mother would complain my wife is lazy. However, its intensified lately. I think the cau","What you are describing is something psychologists have termed ""triangulation"" which is what happens when one family member will not talk to the one they have a problem with and goes to a third member of the family to complain instead. You have been ""triangulated"" by your wife and mother.This is often seen in families. It's seen everywhere. How many times have you had a problem with someone but you didn't go to them to tell them, you went to someone else to complain? It is usually difficult for a person to "
"I'm planning to have baby, so I have to quit smoking - but it's hard. Sometimes it's not a physical need, it's mental. I cannot help myself from thinking about smoking. What can I do to get rid of this addiction?","Hi. Good for you in planning ahead to do what's healthiest for your baby (and yourself). That's a great first step! It's also good that you are able to identify that it's not always a physical need that's driving the addiction.For the next steps, I would suggest trying to figure out when the psychological cravings for a cigarette occur. The psychological (or mental) cravings are usually based out of habit, such as having a cigarette after a meal. And if you're consciously trying to quit, you'll find the cra"
"I have secrets in my mind, and I don't know what to do with them. I don't want to tell my wife and mom because I don't want to hurt them. But I'm not sure how long that I can keep the secret to myself. What should I do? It's becoming annoying and making me","It sounds like keeping the secrets has become a problem for you now. There are several things to consider before you make a decision.- You mentioned that you don't want your wife and mom to know because you don't want to hurt them why would it hurt them?- Is it necessary for them to know this information?- What are the consequences of either telling them the truth or not telling them? (for you and for your wife and mom).- Once you have considered these, think of what you would tell your friend if they were "
I am extremely possessive in my relationships and this is hurting my friendships. How can I fix my underlying issues?,"Hi there. It's great you are able to realize there are other issues going on with someone who feels possessive. At the root of it is fear. Fear of losing someone, fear of being alone, fear of not being good enough. All those fears can lead to low self-esteem and feeling like you have to control other people so you don't lose them. The thing is, controlling other people only pushes them away. Vicious circle, right?What I would suggest is some cognitive therapy to change those underlying ways of thinking. You"
I had a head injury a few years ago and my mind races all the time. I have trouble sleeping and have a lot of anxiety. Every medicine I have been on my body rejects; I get sick to my stomach and get blisters in my mouth. How can I calm my self down? I'm a ,"You didn't say what or how many medications you've tried. Certain anxiety medications can make you feel nauseous, but I haven't heard of any that cause mouth blisters, so there may be some other underlying medical issue there. I would definitely talk to your primary care physician and whoever has prescribed the medication as well as a neurologist if you've suffered a severe head injury. There are so many medications available for anxiety or insomnia or even depression that there may be others with lesser si"
I want a secure relationship with someone that wants to be with me and who will actually put effort into it. I seem to gravitate toward unavailable men and those that want intimacy and no relationship. I let men dictate and control me because they accuse m,"It is a good thing that you have recognized that you have been in some unhealthy relationships and that you are wanting to break this pattern. You seem to have some good insight into the situation.The type of behavior that you are describing is usually rooted in childhood issues with insecure attachment bonds with your caregivers, childhood trauma and/or abuse or neglect, or dysfunctional family issues that did not allow you to develop healthy boundaries for yourself or a sense of self. This is something th"
I easily recognize this but have no control over it and need suggestions for managing my anger.,I suggest that you work on emotional awareness.Emotional awareness basically means knowing what you are feeling and why.Emotional awareness also means that you can identify the link between the way you are feeling and your actions. In other words knowing that your feelings dictate what you do.Often feelings of hurt or insecurity can come out as anger if we cannot properly identify and express the feelings.Being emotionally aware also means that you are able to express your feelings to others. Being unable t
"It takes me a long time to fall asleep; Id estimate about two hours. I often have nightmares, starting with being eaten by a monster, and I often wake up frightened and unable to breathe. I believe I started losing sleep after breaking up with a girlfriend","First of all, exercise is always beneficial for your physical and emotional health. That's great that you have added this in your routine. Have you also considered altering your diet? Certain foods are linked with poor sleep. For example, alcohol, caffeine, nicotine and high fat content foods do not bode well with quality sleep, especially right before bed time.On the other hand, warm milk and foods high in carbohydrates have actually shown to positively impact sleep.Additionally, at bed time it's important"
What do you do when a therapist and a parent drugs a child and makes up lies in order to stop the other parent's custody visitation?,"I will admit I am confused about this question. Are you the other parent in question or a concerned coworker of this therapist?Therapists do not prescribe or have access to medication. Most therapists won't even get involved in a custody battle. They know there is a good chance of their records ending up in court and that they themselves will have to testify in court. Of course, therapists are human and can make mistakes, but I find it highly unlikely that a therapist would knowingly and willingly do someth"
They're calling me names like hypocrite and a baby even when they act in the same manner as I do. I'm tired of being called names. What should I do?,"It sounds like your confused as to why your friends would be calling you a hypocrite when they act in the same manner, correct? Communication is key to any relationship. I would recommend speaking with your friends face-to-face to address why they feel your behavior is concerning.In-person contact is the best method of sorting out differences considering texts, emails or any written response can be misconstrued. Be upfront with them and let them know that being accused of hypocrisy is hurtful and you feel i"
