Context,Response
im going things feelings barely sleep nothing think im worthless shouldnt ive never tried contemplated suicide ive always wanted fix issues never get around change feeling worthless everyone,everyone thinks youre worthless maybe need find new people hang social context person lives big influence go round round trying understand youre worthless go back crowd many inspirational messages find social media maybe read ones state person worthless everyone good purpose lifealso since culture saturated belief someone doesnt feel good somehow feelings part living motivation remove situations relationships us harm feelings feel terrible feeling worthlessness may good sense motivating find much better feelings today
im going things feelings barely sleep nothing think im worthless shouldnt ive never tried contemplated suicide ive always wanted fix issues never get around change feeling worthless everyone,hello thank question seeking advice feelings worthlessness unfortunately common fact people felt degree point life alone changing feelings like changing thoughts hard minds amazing minute change thought another one right take place without permission another thought pop new thought may feel worse last one guess tried several things improve even reaching people often try thinking positive thoughts thoughts simply telling need snap also thought carries selfcriticism people try different approach counselors help idea instead trying change thoughts change respond learn skills allow manage difficult thoughts feelings differently dont impact right people actually begin experience less hurtful thoughts learn manage ones differently acceptance commitment therapy may good choice information online even selfhelp books use teach skills mentioned skills require practice many people found great relief life learning suicidal thoughts glad read happened still watch sign depression begin think important reach support system right away national suicide prevention lifeline text line hope colleagues provide suggestions wellrobin landwehr dbh lpcc
im going things feelings barely sleep nothing think im worthless shouldnt ive never tried contemplated suicide ive always wanted fix issues never get around change feeling worthless everyone,first thing id suggest getting sleep need impact think feel id look finding going well life grateful believe everyone wants find purpose life think figure help
im going things feelings barely sleep nothing think im worthless shouldnt ive never tried contemplated suicide ive always wanted fix issues never get around change feeling worthless everyone,therapy essential feeling depressed worthless work experiencing concerns related feeling depression issues self esteem generally work client help build coping skills reduce level depression assist strengthening self esteem guiding client cbt practices cbt helps gaining better awareness thought process influences belief system beliefs impact actions outcome behaviors process isnt easy helps teach individual dont always control happens lives control interpret feel behave cbt good individuals dealing depression anxiety toxic relationships stress self esteem codependency etc
im going things feelings barely sleep nothing think im worthless shouldnt ive never tried contemplated suicide ive always wanted fix issues never get around change feeling worthless everyone,first want let know alone feelings always someone help always change feelings change way thinking open trying change always make available learning new things volunteering make purpose
im going things feelings barely sleep nothing think im worthless shouldnt ive never tried contemplated suicide ive always wanted fix issues never get around change feeling worthless everyone,sure thing depression base physical structures may functioning well present certainly turn using means able find around house relative ease emotional spiritual support applied
im going things feelings barely sleep nothing think im worthless shouldnt ive never tried contemplated suicide ive always wanted fix issues never get around change feeling worthless everyone,exhibiting specific traits particular temperament type seek counselor provides temperament therapy discover joy god loves
im going things feelings barely sleep nothing think im worthless shouldnt ive never tried contemplated suicide ive always wanted fix issues never get around change feeling worthless everyone,intense depression sometimes depression places glasses eyes dark change see things depression tells us things like youre worthless one likes dont worry anything easy us listen tricked thinking feel something means true please know even feeling worthless right doesnt mean first step working recognizing going recognizing depression telling story ie worthless different words ie worthless worthless making effort talk back give diagnosis depression reading going sounds like might need help get back track seeing counselor open entirely new option wherein someone involved life help without judgement objective perspective wonders kinds thoughts wishing absolute best
im going things feelings barely sleep nothing think im worthless shouldnt ive never tried contemplated suicide ive always wanted fix issues never get around change feeling worthless everyone,sounds like may putting last wrote want fix issues never get around wonder spending mental physical energy spending time taking care others also wonder thoughts feelings worthless coming around people treat poorly hurtful feel worry arent really sure others feel may helpful talk someone feelings counselor perhaps clarify feelings move forward se hurting
im going things feelings barely sleep nothing think im worthless shouldnt ive never tried contemplated suicide ive always wanted fix issues never get around change feeling worthless everyone,must really difficult experience going right takes lot courage reach sounds like want get better perhaps need help get many symptoms described consistent person dealing depression depression treatable condition typically symptoms two weeks good idea seek professional help someone trained dealing depression initially comprehensive assessment would completed rule causes symptoms determine exact nature presenting concern collaboration one another tailored treatment plan would developed focusing best help reach goals good news hope getting better dont alone allow ally healing
im going things feelings barely sleep nothing think im worthless shouldnt ive never tried contemplated suicide ive always wanted fix issues never get around change feeling worthless everyone,people feel worthless one way another told worthless lie living work therapy help people see true good selves gives self esteem
im going things feelings barely sleep nothing think im worthless shouldnt ive never tried contemplated suicide ive always wanted fix issues never get around change feeling worthless everyone,im sorry hear youre feeling intense emotion worthlessness im glad hear reached point suicidal ideation however sounds like could use additional support right would recommend seeking counseling help challenge negative beliefs although many types therapy would helpful therapy shown good approach type struggle cbt therapist help identify negative thoughts beliefs figure ways thoughts distorted example allornothing thinking positives reframe thoughts positive might also consider emdr therapy helps brain traumatic distressing memories helps move forward positive beliefs best wishes
im going things feelings barely sleep nothing think im worthless shouldnt ive never tried contemplated suicide ive always wanted fix issues never get around change feeling worthless everyone,sounds like may struggling depression depression make feel overwhelmed change would suggest connect provider help get root worthlessness coming help develop plan recovery meantime small steps go long way selfcare interventions journaling feelings mindfulness meditation regular exercise helpful reconnecting present moment gaining internal motivation focusing one day time bringing thoughts back present also beneficial hope
im going things feelings barely sleep nothing think im worthless shouldnt ive never tried contemplated suicide ive always wanted fix issues never get around change feeling worthless everyone,im glad interested changing feelings worthlessness visiting doctor great first step address lack sleep first want make sure physically healthy isnt physical condition causing problem sleep changing feelings something difficult especially make sure someone trust talk feel friend family member find isnt anyone would feel comfortable talking issue find therapist close help one activity people found helpful feeling better keeping gratitude journal journaling daily things grateful right wrong way long focus journal things grateful life
im going things feelings barely sleep nothing think im worthless shouldnt ive never tried contemplated suicide ive always wanted fix issues never get around change feeling worthless everyone,several things going sleep addressed primary care physician rule physical issues sleep big reset allows us function day happens depression thoughts race though brain wont shut medication help also use yoga breathing technique called four breath great relaxing us often work quite well allowing us sleep read thoughts feeling worthless everyone fall heading thinking error cognitive behavioral therapy cbt known cbt thoughts lead emotions going pick statement apart reframe first list evidence thought anyone past made positive comments toward might hard recall rut point life frequently positives expressed towards us others everyone absolute specifics thinking need addressed arriving conclusion may specific people want validation specific people might made hurtful comments family member teacher coworker global think everyone thinks worthless thought rooted facts pros cons thinking way benefits costs little pros benefits thinking way going continue tear make feel bad reframe thought situation another way looking situation need specifics arriving conclusion one one therapist definitely help thinking using arrive conclusion needs helpful mindset
im going things feelings barely sleep nothing think im worthless shouldnt ive never tried contemplated suicide ive always wanted fix issues never get around change feeling worthless everyone,hello sound like much mind relieved hear never tried suicide able sleep feeling worthless like shouldnt big issues need get around counseling someone listen gift deserve help someone helping change feelings worthlessness able alone time reach help best
im going things feelings barely sleep nothing think im worthless shouldnt ive never tried contemplated suicide ive always wanted fix issues never get around change feeling worthless everyone,sounds like pretty severe depression depression cause insomnia make person focus perceptions worthless important remember people may truly perceive worthless depression talking think extremely important depressed sit write positives strengths positive things done life concerns suicidal thoughts sounds like time act idea getting help feel like might actually take life would recommend go hospital emergency room mental health crisis clinic right away get help important thing right keep safe feeling like going hurt despite suicidal thoughts would recommend focus finding therapist soon possible dont know situation terms insurance back insurance card inform obtain mental health services also low cost services available places catholic others local county mental health agency able refer appropriate places good luck remember identify strengths good things
im going things feelings barely sleep nothing think im worthless shouldnt ive never tried contemplated suicide ive always wanted fix issues never get around change feeling worthless everyone,sure first step believe worthy recognizing quest already big first step taking time start figuring definitely next self compassion kindness know process look forward might find recommend find someone talk many options fit situation also recommend start giving importance invest time effort quest deserve excellent ted talks google great books read even joining yoga practice team kind hobby may help anything shows worthy effort patience start answer waiting asking questions already set right path
im going things feelings barely sleep nothing think im worthless shouldnt ive never tried contemplated suicide ive always wanted fix issues never get around change feeling worthless everyone,oftentimes change feelings building better relationship ourself sounds like critical aspect self alive taking sometimes stuck part way perhaps learned cope difficult situations earlier lives decided run show like highly critical part may actually desperately attempting protect us past hurt slowing even forming relationship critical internal part help get space begin observe parts curious get know like new friend room ways beginning therapy could great way change feeling worthlessness beginning build better relationship understanding deeply influence relationships around first step may feel hard reach someone could beginning step path radically shifting relationship others life
im going things feelings barely sleep nothing think im worthless shouldnt ive never tried contemplated suicide ive always wanted fix issues never get around change feeling worthless everyone,feelings worthlessness often originate learned young improving self esteem needs focus original message parents teachers siblings may suppressed us need help uncover lie born valuable
